id,text,intent,escalation_label,difficulty,annotation_note,human_verified,suggested_intent
47,"@AmazonHelp I will, but I was literally chatting with your customer support minutes before my second ""refund"" email came through. And Gireesh told me that my order would come by EOD today and I quote ""there is no need to be worried about this anymore"".",refund_return,AUTO_HANDLE,hard,,false,refund_return
48,"@AmazonHelp I am not asking for refund, how do I pay and get my order without any hassle. Also, re-try payment is not working. Grrr.. https://t.co/MLTXDyGjnF",refund_return,AUTO_HANDLE,hard,,false,refund_return
49,@AmazonHelp Done. Don't know how many follow-ups are needed for 1 return. 😑,refund_return,AUTO_HANDLE,easy,,false,refund_return
50,"@AmazonHelp I have emailed them twice and haven’t heard anything back. What can I do, would like item or refund 2/2",refund_return,AUTO_HANDLE,hard,,false,refund_return
51,"@AmazonHelp I paid for express shipping &amp; my package didn’t arrive on time (which really fucks me) you’ll refund the shipping cost, yeah?",refund_return,AUTO_HANDLE,hard,,false,refund_return
52,Didn't rcv the refund in Citi bank on Amazon shopping @AmazonHelp @117157,refund_return,AUTO_HANDLE,easy,,false,refund_return
53,"@AmazonHelp Completed the process to get my refund. That seemed to be my only option. Not very happy with that. Would have liked an option to resend the product w/ 1 day shipping. Amazon is the one who made the error, why not make that an option and make things right ASAP?",refund_return,AUTO_HANDLE,hard,,false,refund_return
54,@AmazonHelp The address was correct on the order and I don’t understand why an order would be marked as handed to the resident if it hadn’t been delivered yet. The whole point of tracking on deliveries is to keep the customer updated. A refund had now been arranged and I’ll shop elsewhere,refund_return,AUTO_HANDLE,hard,,false,refund_return
55,"@AmazonHelp All I expect is what I ordered &amp; paid for. Don't charge me for 100% of the items I ordered, tell me you shipped 100% of them &amp; when I receive them only 75% of them are in the box. I point it out. Response: ""sorry we don't have that item it's out of stock, we'll give you a refund""",refund_return,AUTO_HANDLE,hard,,false,refund_return
56,@AmazonHelp Your emails only say you will check with seller - for what?? I do not need the item now since it is late. Kindly refund and stop harassing,refund_return,AUTO_HANDLE,hard,,false,refund_return
57,"@AmazonHelp It was charged with the other items I got in that same order, it showed a reversal for how much it was, and then that reversal disapleared.",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
58,@AmazonHelp Can you explain why I've been charged AGAIN for a prime membership I don't have? This is the third time this has happened with no explanation as to why.,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
59,@AmazonHelp Nothing has changed. It still says dispatching soon and arriving today. My card was charged at 12:05 last night.,billing_payment,AUTO_HANDLE,easy,,false,billing_payment
60,@AmazonHelp Hi I ordered something earlier and it’s charged me another £2 on top? I thought the prime student trial was free 🤔 https://t.co/mCyB0iVbk8,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
61,"@AmazonHelp I did reply to them, but their resolution was incorrect/u helpful. There’s actually no way to have a separate shipping+billing policy on business orders. I ended up buying a product with the wrong invoice now, and had to return it.",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
62,"@AmazonHelp I worked yesterday and after the amount of the requested amount, I received a message from them on 18/12/2017 will receive the goods for what did not inform the customer before payment that the goods will receive you after 18 days Thank you",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
63,@AmazonHelp None of these options allow me to cancel the order due to delivery failure by @115817.  I will dispute the charges via the the credit card company instead.,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
64,@AmazonHelp When I purchase from amazon I want to put in credit card without you storing it. There is NO OPTION for this. I have to manually delete and sometimes forget. This leaves my acct vulnerable to unwanted charges. I’ve gotten charges in past and this is an ongoing issue with Amazon.,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
65,"@AmazonHelp @133929 Hi you piece of bull craps, gave you another chance. And this is what happens. How can I make a payment if delivery is not attempted? https://t.co/6Rc6fWjiHy",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
66,"@AmazonHelp 1 order came yesterday (fire tablet) no charger or adapter! Was only offered full replacement and refund, no partial refund or anything. Other agent told me to go buy it myself. Not impressed.",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
67,@AmazonHelp I was using the 30 day free trial and I canceled right after being charged. I'm unsure if the trial counts as a gift or bundle,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
68,@AmazonHelp  I have two charges for digitial services that I didn't order. How can I rectify this?,billing_payment,AUTO_HANDLE,easy,,false,billing_payment
69,"@AmazonHelp It’s in transit, says it’s coming Monday. I was only told my payment didnt go through on the sunday before the book was to come out though?",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
70,FFS @115830 @AmazonHelp are saying I've placed an order &amp; it's been dispatched when I haven't &amp; now I've been charged money I don't have,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
71,@AmazonHelp Now I have suffer in self returning product and also not sure that courier charges will be given by Amazon or not. Please arrange person to,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
72,"Where is the result? 
#AmazonRechargeQuiz 
@AmazonHelp 
@115850",billing_payment,AUTO_HANDLE,easy,,false,billing_payment
73,"@AmazonHelp Hi. I'd set auto-renewal off deliberately, recently, yet I've still been charged for another year. Any way to reverse this?",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
74,"@AmazonHelp Need to know if I recharge my Jio using Amazon pay balance, will I get the Cashback as pay balance itself ?",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
75,"@AmazonHelp I'm actually using the cord it came with plugged into my apple charger, it takes hours to charge to even 40%",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
76,@AmazonHelp I tried to change payment method; your advisor cancelled a pre-order priced £34.99 and told me to re-order at your current price of £44.99,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
77,@AmazonHelp what is your amazing prime help email please? I keep getting an email saying thanks for signing up but payment has been declined,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
78,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
79,"@AmazonHelp Hi AmazonHelp, I keep getting charged €2.99 per month for Prime Video despite my account saying I've no subscription. There is no way for me to cancel! Please advise or help.",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
80,@AmazonHelp Thank you.  I have spoken with the call centre and had the charge reversed.  Still scary to be billed without placing an order though...,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
81,@AmazonHelp I have been double charged and left penniless. The person I spoke to was worse than useless how do I make a formal complaint,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
82,@AmazonHelp I have not received my refund for the Amazon pay balance. When i placed the order it said that payment should be revised.,billing_payment,AUTO_HANDLE,hard,,false,billing_payment
83,"@AmazonHelp 
@115821 
TAKING CHARGE AND POSTING
#WARNING ON
#FAKE EMAILS
@156163 
DOES NOT DO OR SAY ANYTHING
#BEWARE
#CVS 
#FRAUDULENT EMAILS
#AMAZON
#AmazonHelp
Good show!!!!!
#BRILLIANT https://t.co/p6GhLt982a",billing_payment,AUTO_HANDLE,hard,,false,billing_payment
84,"@AmazonHelp hello, after charing my card, Amazon says credit card is declined, even though the amount is charged and withdrawn?",billing_payment,AUTO_HANDLE,medium,,false,billing_payment
85,@AmazonHelp Je l'ai fait il y a plus d'une semaine. J'ai donc appelé samedi matin On m'a dit réponse sous 24h. Je me sens démuni face à votre SAV.,technical_support,AUTO_HANDLE,hard,,false,technical_support
86,"@AmazonHelp @791115 Hi, I ordered from ur website but I couldn’t find it in my orders.. I only find it in canceled orders! 🤔 https://t.co/Ja4JBDN5mj",technical_support,AUTO_HANDLE,hard,,false,technical_support
87,@AmazonHelp We called as soon as it happened.  The packages have been picked up and are out for delivery.  The guy who left it said it was his second day and the lady who picked them up said she stopped to help him and he said he lost the packages. 🤔,technical_support,AUTO_HANDLE,hard,,false,technical_support
88,@AmazonHelp @115850 @119625 No solution yet. Disappointed!😔😣 https://t.co/2EaOYwTQMj,technical_support,AUTO_HANDLE,easy,,false,technical_support
89,"@AmazonHelp We will see, I gave feedback personally to your colleague, next time we'll see what happens.",technical_support,AUTO_HANDLE,easy,,false,technical_support
90,"@AmazonHelp Halli hallo ihr Schnuckelmäuse 👋 
Der zweite Zustellversuch hatte dann geklappt nachdem ich meinen Wunschnachbarn eingetragen hatte 👍 
Wünsch euch 1 schön 1. Dezember &amp; DAMKE für euern Support 🎄❤🎅",technical_support,AUTO_HANDLE,hard,,false,technical_support
91,"@AmazonHelp Man, the subtitles are not coming again now. I have updated the app, played some other TV shows and Hindi movies and could see subtitles . Wonder what's the problem with this movie alone.",technical_support,AUTO_HANDLE,hard,,false,technical_support
92,@AmazonHelp Yeah on Friday when I ordered it however it's now showing as not available on your website but my order still pending https://t.co/jcIemRBQo2,technical_support,AUTO_HANDLE,hard,,false,technical_support
93,so you wait for a week to get a product just to return it because it ain’t working. Nice experience @115850 @AmazonHelp #disappointed,technical_support,AUTO_HANDLE,hard,,false,technical_support
94,@AmazonHelp I have arranged for the collection on two separate days but no one turned up on either. The only info your website gives is arrange again??,technical_support,AUTO_HANDLE,hard,,false,technical_support
95,"@AmazonHelp Déjà fait hier par téléphone, ils peuvent rien faire pour moi apparemment",technical_support,AUTO_HANDLE,easy,,false,technical_support
96,@AmazonHelp Puisque le service client se borne à me répondre toujours le même paragraphe sans rapport avec mon problème... Voici l'état du colis livré par @132988 en relais (ils ne viennent plus sonner) https://t.co/fApeQ1zzyh,technical_support,AUTO_HANDLE,hard,,false,technical_support
97,@AmazonHelp Thank you I will check in my TV and let you know. I tried multiple times earlier but could not find the app for Amazon Prime.,technical_support,AUTO_HANDLE,hard,,false,technical_support
98,"@AmazonHelp @4030 @118702 @115937 @4110 @4168 @119356 @115821 @131283 @144775 @2517 Dear Amazon,
People trust on your brand name when they buy anything from your website. Why do you want to fool innocent customers.Stop Scams",technical_support,AUTO_HANDLE,hard,,false,technical_support
99,"@AmazonHelp But they won't. The last time this happened they said they would but it happened again.
Can you give me HO contact info?",technical_support,AUTO_HANDLE,hard,,false,technical_support
100,Can I expect these Diwali surprises before Diwali? :) @AmazonHelp @115850 #apptreasurehunt https://t.co/SO2IIjLLc9,technical_support,AUTO_HANDLE,easy,,false,technical_support
101,"@AmazonHelp Non mais c'est surtout le fait de dire que je n'étais pas présent, alors qu'il n'a pas ""Appelé"" ou même laissé d'avis de passage ! Logique ?",technical_support,AUTO_HANDLE,hard,,false,technical_support
102,@AmazonHelp Hey my last order says confirmed on the Amazon app but I've still not received any email nor has my card been debited,technical_support,AUTO_HANDLE,hard,,false,technical_support
103,"@AmazonHelp 
We need arabic translation to all the shows, please
Also, Does the app we’ve got here in UAE is for India or It’s different ?",technical_support,AUTO_HANDLE,hard,,false,technical_support
104,"@AmazonHelp hey I checked out the list of options but none of those applies to my issue! Can you look at the video I posted, to know my issue??",technical_support,AUTO_HANDLE,hard,,false,technical_support
105,"@AmazonHelp AMZL US. 

Also it appears the delivery was attempted in the wrong city. So that's a problem.",technical_support,AUTO_HANDLE,easy,,false,technical_support
106,@AmazonHelp 2. Die App und das ganze restliche Konstrukt taugt nicht zum untereinander zu kommunizieren.,technical_support,AUTO_HANDLE,easy,,false,technical_support
107,"@AmazonHelp It's sitting in New Jersey, I'll just wait and see what happens. Hopefully it comes Friday. https://t.co/1cT4niEIsU",technical_support,AUTO_HANDLE,easy,,false,technical_support
108,@AmazonHelp is AWS currently experiencing issues.  All apps on Fire Stick will highlight but not open.,technical_support,AUTO_HANDLE,medium,,false,technical_support
109,"@AmazonHelp I know how it happened, someone used the wrong email for their account &amp; because Amazon does NOT have any email verification process, this person inadvertently gave me access to their account. Not email provider's fault, AMAZON's fault. This wouldn't happen w/email verification. https://t.co/4EOurezBTE",technical_support,AUTO_HANDLE,hard,,false,technical_support
110,"@AmazonHelp I contacted the seller weeks ago! Apparently, the book was shipped to Michigan. A place I've Never been.",technical_support,AUTO_HANDLE,easy,,false,technical_support
111,@AmazonHelp I ordered two speakers at the same time. One was delivered today and apparently the second is nowhere to be found. I also had another order lost in transit on Saturday.,technical_support,AUTO_HANDLE,hard,,false,technical_support
112,"@AmazonHelp Je viens d’appeler ! On doit faire le point demain. Une réclamation a été formulée auprès de Colis Privé. J’ai de + en + de problèmes pour être livré dans les temps de façon générale et a cause des transporteurs, ça gâche un peu mon expérience Amazon Prime.",technical_support,AUTO_HANDLE,hard,,false,technical_support
113,@AmazonHelp Me reembolsaron el prime y todos mis productos lamentablemante la ultima vez que les compro,product_issue,AUTO_HANDLE,easy,,false,product_issue
114,"@AmazonHelp hey guys, I realise things get squashed during deliveries, but an item has came out of my parcel... What can I do? https://t.co/fvUBx207Xx",product_issue,AUTO_HANDLE,hard,,false,product_issue
115,"@AmazonHelp 1. Placed order on 2 items 
2. Nothing arrived when Amazon app+email said so (deliverer lied by saying it'd been done)
3. 1 art canceled....",product_issue,AUTO_HANDLE,hard,,false,product_issue
116,@AmazonHelp And what will that do for me? Nothing. Go speak to Adriana C. I will be contacting the source who sold this item (fulfilled and shipped by Amazon) and tell them how poorly you handled their product. And tagging @118706 to let them know how your reps lie about statuses of items.,product_issue,AUTO_HANDLE,hard,,false,product_issue
117,@AmazonHelp I spoke to op &amp; supervisor ‘Kimberly’ today and they basically said it’s refund and pay more and prob get wrong item again &amp; no other option! I don’t understand why problem wouldn’t be solved / product honored at original price! .... 1/2,product_issue,AUTO_HANDLE,hard,,false,product_issue
118,@AmazonHelp The customer representative assured me that is why I returned the product otherwise I would not have,product_issue,AUTO_HANDLE,easy,,false,product_issue
119,@AmazonHelp I have still not received these items,product_issue,AUTO_HANDLE,easy,,false,product_issue
120,@AmazonHelp Your team promised me I will get my product by 9pm today but I didn't got yet. Why you people are cheating coustmers like this,product_issue,AUTO_HANDLE,hard,,false,product_issue
121,@AmazonHelp I've already spoken to a customer service rep. You need to fix #AmazonFresh because it is broken!,product_issue,AUTO_HANDLE,easy,,false,product_issue
122,"@AmazonHelp Originally, the estimated delivery date was for Wed 11/15 with two other items, which did come Wednesday.. now it says ups does not have a delivery date, just somewhere between 17-18 ☹️",product_issue,AUTO_HANDLE,hard,,false,product_issue
123,@AmazonHelp ‘Some deliveries may take slightly longer’ not one item I’ve found that can be delivered before Wednesday! Infuriating!,product_issue,AUTO_HANDLE,easy,,false,product_issue
124,@115851 @119356 @amazonhelp shall i donate the product to charity on ur behalf coz u obviously seem reluctant to do anything. 1/2,product_issue,AUTO_HANDLE,hard,,false,product_issue
125,@AmazonHelp The product which was supposed to deliver yesterday is still not delivered.. your customer care have no idea about it. https://t.co/FLNw5loctm,product_issue,AUTO_HANDLE,hard,,false,product_issue
126,@AmazonHelp @199094 I'm having several delays/no product and refusal of refund. Not ordering anything until Amazon gets head out of ass.,product_issue,AUTO_HANDLE,hard,,false,product_issue
127,@344927 @AmazonHelp ... Now i have to wait for the product to be returned to the seller and a refund to be issued which is making us lose at least 3 days,product_issue,AUTO_HANDLE,hard,,false,product_issue
128,"@AmazonHelp Yup, got refunded but still frustrated with persistent @2150 issues. Also wasted 30 mins of my Sunday morn and I still don’t have item!",product_issue,AUTO_HANDLE,hard,,false,product_issue
129,@AmazonHelp NOW a 4th agent contacted a seller for an item I did not have an issue with to request a refund without asking for more information.,product_issue,AUTO_HANDLE,hard,,false,product_issue
130,@AmazonHelp the issue got solved after so many follow up. Lost all the best prices for the products available till I got my money back. Will amazon pay?,product_issue,AUTO_HANDLE,hard,,false,product_issue
131,"@AmazonHelp I’m on mobile right now, so I’ll have to check it out later, but this will allow me to add amazon.fr items to my US wish list?",product_issue,AUTO_HANDLE,hard,,false,product_issue
132,@AmazonHelp Item was promised on Thursday. Hadn't came yet today until after mailman made a 2nd delivery to my house.,product_issue,AUTO_HANDLE,easy,,false,product_issue
133,"@AmazonHelp Everything in the box was destroyed by a broken bottle of laundry detergent. I cannot return any of it, I just need a complete replacement of the entire shipment. How do I do this? https://t.co/W8cOZFENqE",product_issue,AUTO_HANDLE,hard,,false,product_issue
134,"@AmazonHelp I've got the order, a box of screws! It should have been left in my ""safe place"" the idea of shipping online is to save money on items which are more expensive in store. But when you add parking and inconvenience on top, it's not!",product_issue,AUTO_HANDLE,hard,,false,product_issue
135,@115821 @AmazonHelp  I think u ppl r so rude..that ur escalation team asked me that u can buy product from market...  #poorserviceamazon,product_issue,AUTO_HANDLE,hard,,false,product_issue
136,"@AmazonHelp As per the law, product can't be sold more than the MRP. Ur ans is not justifiable. I've enough evidence to proof in consumer court for making customer fool. Can't trust anymore on amazon",product_issue,AUTO_HANDLE,hard,,false,product_issue
137,"@AmazonHelp I don't have that option, I am only allowed to cancel, however, I still need the item https://t.co/atu12c47Zn",product_issue,AUTO_HANDLE,medium,,false,product_issue
138,@195586 @115850 @AmazonHelp We didn't even received d order n u update d status as delivered !!! Where is d product. Is this ur #Prime service ??,product_issue,AUTO_HANDLE,hard,,false,product_issue
139,@AmazonHelp I've attempted to load it multiple times. It's on the ordered today section. I must of pocket bought it as I had been looking at the item a while earlier.,product_issue,AUTO_HANDLE,hard,,false,product_issue
140,@AmazonHelp ITS A CLEAR CASE OF THEFT BY THE DELIVERY GUY. HE WENT CLOSE TO OUR PLACE FOR GPS RECORDING AND THEN STOLE MY ITEM!!,product_issue,AUTO_HANDLE,hard,,false,product_issue
141,@AmazonHelp So if I buy the year and cancel will I get my money back?,cancellation,AUTO_HANDLE,easy,,false,cancellation
142,@AmazonHelp I don't have membership or an account.,cancellation,AUTO_HANDLE,easy,,false,cancellation
143,@AmazonHelp I don't want to 'reach out' I want to cancel my order and my payment reimbursed asap! I've sent instruction via site. Awful service!,cancellation,AUTO_HANDLE,hard,,false,cancellation
144,"@AmazonHelp Even when I have considered cancelling prime the employees dont even care why. I say is cause of cust serv and they have said ok, its done",cancellation,AUTO_HANDLE,hard,,false,cancellation
145,@115850 @AmazonHelp order cancelled as it was not delivered to my address. But money is not refunded yet.,cancellation,AUTO_HANDLE,medium,,false,cancellation
146,@AmazonHelp Called in because order was SUPPOSED to be delivered today and I rearranged my schedule to be here.  Was told to read my email and that what was on the website was only SORT OF a promise until after an email was sent.  The same agent told me I could cancel my order or my prime!,cancellation,AUTO_HANDLE,hard,,false,cancellation
147,@AmazonHelp Just been told its out of stock!!!!! Set. Delivery date 2 December! I've cancelled order. Am going g to speak to a supervisor.,cancellation,AUTO_HANDLE,hard,,false,cancellation
148,@AmazonHelp order an item from you and cancelled it. One of your seller started spamming everyday. https://t.co/BtTwsNuRzt,cancellation,AUTO_HANDLE,easy,,false,cancellation
149,"@AmazonHelp Hi there, I cancelled my WaPo subscription (through Amazon Pay) last month but was still charged this month. Can you assist?",cancellation,AUTO_HANDLE,hard,,false,cancellation
150,"@AmazonHelp Hi I'll contact my bank, but they've already been taken out they aren't pending anymore..? Plus the amounts don't match anything else I've ordered other than the cancelled items? Xx",cancellation,AUTO_HANDLE,hard,,false,cancellation
151,@AmazonHelp Acc name kerem cakir.i was registering for seller acc and 39.99$ monthly fee was taken from my acc before reg complete.i cancel but no repay,cancellation,AUTO_HANDLE,hard,,false,cancellation
152,"@AmazonHelp @115850 
I have requested an order to return...
But delivery boy didn't picked it up and cancel return process...
What to do",cancellation,AUTO_HANDLE,hard,,false,cancellation
153,"@AmazonHelp Había hecho la compra de un par de  Samsung S8 hace como 1 mes o mas, y hoy me llego un correo donde me los cancelaron :(",cancellation,AUTO_HANDLE,hard,,false,cancellation
154,"@AmazonHelp I have share details already. What should I do ? Can I cancel the order ? If I cancel , may be you will refund my money after 1 month",cancellation,AUTO_HANDLE,hard,,false,cancellation
155,"@115821 @115850 
@119625  @AmazonHelp 
I ordered my product before 6hrs &amp; I've my prime membership still its not shipped yet?why?!!",cancellation,AUTO_HANDLE,easy,,false,cancellation
156,@AmazonHelp you’ve taken Money out of my bank account for a membership I don’t even have?!!!!,cancellation,AUTO_HANDLE,easy,,false,cancellation
157,"@AmazonHelp Order was due 10-25, still no package. It has my sons halloween costume now it says canceled. Have talked to 4 managers all can’t help",cancellation,AUTO_HANDLE,hard,,false,cancellation
